test_avg_loss,test_avg_acc,val_avg_loss,val_avg_acc,best_step,best_val_acc
2.440702051917712,0.11261352169525732,2.4448789221048357,0.10919366232717731,0,0.10919366232717731
2.4342260561386744,0.1129162462159435,2.4464585902293523,0.11040468261176709,10,0.11040468261176709
2.4409724197785057,0.11251261352169525,2.4445123453934987,0.11181753961045514,20,0.11181753961045514
2.4358963437875114,0.11281533804238143,2.431829075614611,0.11171662125340599,20,0.11181753961045514
2.432962995370229,0.1129162462159435,2.431588061849276,0.11222121303865173,40,0.11222121303865173
2.4352940754095713,0.11331987891019173,2.430385369459788,0.11141386618225856,40,0.11222121303865173
2.4250620830059053,0.11331987891019173,2.42790466427803,0.11121202946816026,40,0.11222121303865173
2.4275044922033944,0.11392532795156407,2.419431711435318,0.11161570289635685,40,0.11222121303865173
2.419697943329811,0.11382441977800202,2.4211137813329695,0.11201937632455343,40,0.11222121303865173
2.4166865011056267,0.11402623612512613,2.418891331156095,0.11181753961045514,40,0.11222121303865173
2.4153580623865127,0.1136226034308779,2.4183937825759254,0.11232213139570088,100,0.11232213139570088
2.4201080413659413,0.11342078708375379,2.4150728305180866,0.11252396810979917,110,0.11252396810979917
2.418520522514979,0.11352169525731584,2.4134935625394185,0.11252396810979917,110,0.11252396810979917
2.412008413473765,0.11402623612512613,2.4154909737904866,0.11292764153799577,130,0.11292764153799577
2.408710483511289,0.11453077699293643,2.4113717873891196,0.11302855989504491,140,0.11302855989504491
2.4044580364227297,0.11402623612512613,2.4052537631988526,0.11312947825209406,150,0.11312947825209406
2.4016923091808953,0.11382441977800202,2.4048247170448303,0.11302855989504491,150,0.11312947825209406
2.4046194809675216,0.1141271442986882,2.401144503355026,0.11403774346553638,170,0.11403774346553638
2.4083160438140236,0.11372351160443996,2.4058549404144287,0.11413866182258553,180,0.11413866182258553
2.395218771696091,0.11432896064581231,2.407961031198502,0.11444141689373297,190,0.11444141689373297
2.39366070886453,0.11493440968718466,2.4013392035166423,0.11534968210717529,200,0.11534968210717529
2.3963313724597297,0.11483350151362261,2.3976286021868387,0.11565243717832274,210,0.11565243717832274
2.4015953461329143,0.11513622603430877,2.3919267475605013,0.11635886567766676,220,0.11635886567766676
